Representative,ReportDate,House,Party,TransactionDate,Ticker,Transaction,Range,District
Gary Peters,2023-06-30,Senate,D,2023-06-06,IFF,Purchase,"$1,001 - $15,000",
Thomas R. Carper,2023-06-30,Senate,D,2023-06-20,ETN,Sale,"$1,001 - $15,000",
Thomas R. Carper,2023-06-30,Senate,D,2023-06-20,TT,Purchase,"$1,001 - $15,000",
Thomas R. Carper,2023-06-30,Senate,D,2023-05-25,NVDA,Sale,"$1,001 - $15,000",
Thomas R. Carper,2023-06-30,Senate,D,2023-05-22,BAH,Purchase,"$1,001 - $15,000",
Thomas R. Carper,2023-06-30,Senate,D,2023-05-22,DIS,Sale,"$1,001 - $15,000",
Thomas R. Carper,2023-06-30,Senate,D,2023-05-22,NTLA,Purchase,"$1,001 - $15,000",
Thomas R. Carper,2023-06-30,Senate,D,2023-05-22,KEYS,Sale,"$1,001 - $15,000",
Thomas R. Carper,2023-06-30,Senate,D,2023-05-09,PYPL,Sale,"$1,001 - $15,000",
Angus King,2023-06-20,Senate,I,2023-05-19,MMM,Sale,"$1,001 - $15,000",
John Hickenlooper,2023-06-15,Senate,D,2023-06-09,SIRI,Sale,"$15,001 - $50,000",
John Hickenlooper,2023-06-15,Senate,D,2023-05-26,CMG,Sale,"$100,001 - $250,000",
John Hickenlooper,2023-06-15,Senate,D,2023-05-10,VZ,Sale,"$100,001 - $250,000",
John Hickenlooper,2023-06-15,Senate,D,2023-05-10,AMT,Sale,"$100,001 - $250,000",
John Hickenlooper,2023-06-15,Senate,D,2023-05-10,INTC,Sale,"$100,001 - $250,000",
Tommy Tuberville,2023-06-15,Senate,R,2023-05-25,CLF,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-06-15,Senate,R,2023-05-25,CLF,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-06-15,Senate,R,2023-05-25,CLF,Purchase,"$15,001 - $50,000",
Tommy Tuberville,2023-06-15,Senate,R,2023-05-25,CLF,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-06-15,Senate,R,2023-05-24,V,Purchase,"$1,001 - $15,000",
Tommy Tuberville,2023-06-15,Senate,R,2023-05-24,V,Purchase,"$1,001 - $15,000",
Tommy Tuberville,2023-06-15,Senate,R,2023-05-24,CLF,Purchase,"$1,001 - $15,000",
Tommy Tuberville,2023-06-15,Senate,R,2023-05-23,PYPL,Sale,"$15,001 - $50,000",
Tommy Tuberville,2023-06-15,Senate,R,2023-05-23,PYPL,Sale,"$50,001 - $100,000",
Tommy Tuberville,2023-06-15,Senate,R,2023-05-23,PYPL,Sale,"$15,001 - $50,000",
Tommy Tuberville,2023-06-15,Senate,R,2023-05-23,PYPL,Sale,"$100,001 - $250,000",
Tommy Tuberville,2023-06-15,Senate,R,2023-05-23,PYPL,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-06-15,Senate,R,2023-05-22,OXY,Purchase,"$15,001 - $50,000",
Tommy Tuberville,2023-06-15,Senate,R,2023-05-22,OXY,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-06-15,Senate,R,2023-05-19,OXY,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-06-15,Senate,R,2023-05-19,AAPL,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-06-15,Senate,R,2023-05-19,X,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-06-15,Senate,R,2023-05-19,OXY,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-06-15,Senate,R,2023-05-18,CLF,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-06-15,Senate,R,2023-05-17,CLX,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-06-15,Senate,R,2023-05-17,CLF,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-06-15,Senate,R,2023-05-17,CLF,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-06-15,Senate,R,2023-05-17,F,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-06-15,Senate,R,2023-05-17,CLX,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-06-15,Senate,R,2023-05-11,PYPL,Purchase,"$250,001 - $500,000",
Tommy Tuberville,2023-06-15,Senate,R,2023-05-10,PYPL,Purchase,"$250,001 - $500,000",
Tommy Tuberville,2023-06-15,Senate,R,2023-05-08,CFG,Purchase,"$1,001 - $15,000",
Tommy Tuberville,2023-06-15,Senate,R,2023-05-08,CLX,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-06-15,Senate,R,2023-05-08,KEY,Purchase,"$1,001 - $15,000",
Tommy Tuberville,2023-06-15,Senate,R,2023-05-08,PG,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-06-15,Senate,R,2023-05-08,WBA,Purchase,"$1,001 - $15,000",
Tommy Tuberville,2023-06-15,Senate,R,2023-05-08,FITB,Purchase,"$1,001 - $15,000",
Tommy Tuberville,2023-06-15,Senate,R,2023-05-08,GOLD,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-06-15,Senate,R,2023-05-08,RF,Purchase,"$1,001 - $15,000",
Tommy Tuberville,2023-06-15,Senate,R,2023-05-08,X,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-06-15,Senate,R,2023-05-08,PG,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-06-15,Senate,R,2023-05-08,CLX,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-06-15,Senate,R,2023-05-08,NU,Purchase,"$15,001 - $50,000",
Tommy Tuberville,2023-06-15,Senate,R,2023-05-08,FGBI,Purchase,"$1,001 - $15,000",
Tommy Tuberville,2023-06-15,Senate,R,2023-05-08,QCOM,Purchase,"$1,001 - $15,000",
Tommy Tuberville,2023-06-15,Senate,R,2023-05-08,GOLD,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-06-15,Senate,R,2023-05-08,PG,Sale,"$1,001 - $15,000",
Shelley Moore Capito,2023-06-14,Senate,R,2023-05-10,BMY,Sale,"$1,001 - $15,000",
Shelley Moore Capito,2023-06-14,Senate,R,2023-05-10,XOM,Sale,"$1,001 - $15,000",
Shelley Moore Capito,2023-06-14,Senate,R,2023-05-10,C,Sale,"$1,001 - $15,000",
A. Mitchell Jr. McConnell,2023-06-14,Senate,R,2023-06-05,WFC,Purchase,"$1,001 - $15,000",
Sheldon Whitehouse,2023-05-17,Senate,D,2023-04-18,ESS,Sale,"$1,001 - $15,000",
Sheldon Whitehouse,2023-05-17,Senate,D,2023-04-18,ESS,Sale,"$1,001 - $15,000",
John Hickenlooper,2023-05-15,Senate,D,2023-05-01,CMG,Sale,"$100,001 - $250,000",
John Hickenlooper,2023-05-15,Senate,D,2023-04-28,BABA,Sale,"$1,001 - $15,000",
John Hickenlooper,2023-05-15,Senate,D,2023-04-28,PTON,Sale,"$1,001 - $15,000",
John Hickenlooper,2023-05-15,Senate,D,2023-04-28,CCCS,Sale,"$15,001 - $50,000",
John Hickenlooper,2023-05-15,Senate,D,2023-04-28,CMCSA,Sale,"$15,001 - $50,000",
John Hickenlooper,2023-05-15,Senate,D,2023-04-28,TTD,Sale,"$15,001 - $50,000",
John Hickenlooper,2023-05-15,Senate,D,2023-04-28,DIS,Sale,"$15,001 - $50,000",
John Hickenlooper,2023-05-15,Senate,D,2023-04-28,AMZN,Sale,"$15,001 - $50,000",
John Hickenlooper,2023-05-15,Senate,D,2023-04-28,PINS,Sale,"$1,001 - $15,000",
John Hickenlooper,2023-05-15,Senate,D,2023-04-28,SNAP,Sale,"$1,001 - $15,000",
John Hickenlooper,2023-05-15,Senate,D,2023-04-12,CARG,Sale,"$1,001 - $15,000",
John Hickenlooper,2023-05-15,Senate,D,2023-04-12,BBY,Sale,"$1,001 - $15,000",
Shelley Moore Capito,2023-05-15,Senate,R,2023-04-04,DUK,Sale,"$15,001 - $50,000",
Shelley Moore Capito,2023-05-15,Senate,R,2023-04-04,UPS,Sale,"$1,001 - $15,000",
Shelley Moore Capito,2023-05-15,Senate,R,2023-04-04,MCD,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-28,CLF,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-28,F,Purchase,"$15,001 - $50,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-28,CLF,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-28,CLF,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-28,CLF,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-28,CLF,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-27,F,Purchase,"$100,001 - $250,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-26,F,Purchase,"$15,001 - $50,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-26,ATVI,Sale,"$100,001 - $250,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-24,CLF,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-24,X,Sale,"$50,001 - $100,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-24,CLF,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-24,CLF,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-24,X,Sale,"$100,001 - $250,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-24,CLF,Purchase,"$15,001 - $50,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-18,OXY,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-14,MRO,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-14,MMM,Purchase,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-14,KMB,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-10,HPQ,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-10,PARA,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-10,MDLZ,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-10,KR,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-04,TSLA,Sale,"$15,001 - $50,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-03,VZ,Purchase,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-03,SKY,Purchase,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-03,RRC,Purchase,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-03,GNTX,Purchase,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-03,TXN,Sale,"$15,001 - $50,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-03,ALLE,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-03,PAM,Purchase,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-03,MTD,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-03,VCTR,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-03,RH,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-03,EW,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-03,NSC,Purchase,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-03,PHM,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-03,TMO,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-03,APH,Purchase,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-03,GRMN,Purchase,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-03,MPWR,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-03,GSK,Purchase,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-03,ABBV,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-03,CSCO,Sale,"$15,001 - $50,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-03,ANET,Sale,"$15,001 - $50,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-03,REGN,Purchase,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-03,FLT,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-03,DIOD,Purchase,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-03,CBSH,Purchase,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-03,CRUS,Purchase,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-03,AVGO,Purchase,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-03,MMC,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-03,META,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-03,TSLA,Purchase,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-03,MMM,Purchase,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-03,MSFT,Sale,"$15,001 - $50,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-03,IDXX,Purchase,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-03,CROX,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-03,NVDA,Purchase,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-03,MCO,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-03,MPWR,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-03,MKSI,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-03,NDSN,Purchase,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-03,GFI,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-03,TREX,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-03,SSD,Purchase,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-03,QSR,Purchase,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-03,LMST,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-03,ETSY,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-03,ADSK,Purchase,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-03,AMT,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-03,XP,Purchase,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-03,ITW,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-03,SCI,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-05-11,Senate,R,2023-04-03,DQ,Sale,"$1,001 - $15,000",
Tammy Duckworth,2023-05-01,Senate,D,2023-04-11,ITW,Sale,"$15,001 - $50,000",
Thomas R. Carper,2023-05-01,Senate,D,2023-04-26,NVS,Purchase,"$1,001 - $15,000",
Thomas R. Carper,2023-05-01,Senate,D,2023-04-26,TMO,Sale,"$1,001 - $15,000",
Thomas R. Carper,2023-05-01,Senate,D,2023-04-20,FIMKX,Sale,"$1,001 - $15,000",
Thomas R. Carper,2023-05-01,Senate,D,2023-04-17,LGI,Sale,"$1,001 - $15,000",
Thomas R. Carper,2023-05-01,Senate,D,2023-04-17,VSH,Sale,"$1,001 - $15,000",
Thomas R. Carper,2023-05-01,Senate,D,2023-04-17,DIOD,Sale,"$1,001 - $15,000",
Thomas R. Carper,2023-05-01,Senate,D,2023-04-17,AVNT,Sale,"$1,001 - $15,000",
Thomas R. Carper,2023-05-01,Senate,D,2023-04-17,RTH,Sale,"$1,001 - $15,000",
Thomas R. Carper,2023-05-01,Senate,D,2023-04-17,SNDR,Sale,"$1,001 - $15,000",
Thomas R. Carper,2023-05-01,Senate,D,2023-04-17,ALGM,Sale,"$1,001 - $15,000",
Thomas R. Carper,2023-05-01,Senate,D,2023-04-17,DGRS,Sale,"$1,001 - $15,000",
Thomas R. Carper,2023-05-01,Senate,D,2023-04-17,JHMM,Sale,"$1,001 - $15,000",
Thomas R. Carper,2023-05-01,Senate,D,2023-04-17,SBIO,Sale,"$1,001 - $15,000",
Thomas R. Carper,2023-05-01,Senate,D,2023-04-17,MRVL,Sale,"$1,001 - $15,000",
Thomas R. Carper,2023-05-01,Senate,D,2023-04-17,FCPIX,Sale,"$1,001 - $15,000",
Thomas R. Carper,2023-05-01,Senate,D,2023-04-17,FDN,Sale,"$1,001 - $15,000",
Thomas R. Carper,2023-05-01,Senate,D,2023-04-17,BRKR,Sale,"$1,001 - $15,000",
Thomas R. Carper,2023-05-01,Senate,D,2023-04-13,CSCO,Sale,"$15,001 - $50,000",
Thomas R. Carper,2023-05-01,Senate,D,2023-04-13,UAA,Sale,"$1,001 - $15,000",
Thomas R. Carper,2023-05-01,Senate,D,2023-04-13,UA,Sale,"$1,001 - $15,000",
Dan Sullivan,2023-04-26,Senate,R,2023-03-17,WFC,Sale,"$1,001 - $15,000",
Tina Smith,2023-04-19,Senate,D,2023-04-05,MDT,Sale,"$100,001 - $250,000",
Tina Smith,2023-04-19,Senate,D,2023-04-05,CSII,Sale,"$50,001 - $100,000",
Tina Smith,2023-04-19,Senate,D,2023-04-05,CSII,Sale,"$50,001 - $100,000",
John Hickenlooper,2023-04-13,Senate,D,2023-03-20,FWONK,Sale,"$50,001 - $100,000",
John Hickenlooper,2023-04-13,Senate,D,2023-03-20,LSXMK,Sale,"$15,001 - $50,000",
John Hickenlooper,2023-04-13,Senate,D,2023-03-20,BATRK,Sale,"$15,001 - $50,000",
John Hickenlooper,2023-04-13,Senate,D,2023-03-20,LBRDK,Sale,"$15,001 - $50,000",
John Hickenlooper,2023-04-13,Senate,D,2023-03-20,LTRPA,Sale,"$1,001 - $15,000",
John Hickenlooper,2023-04-13,Senate,D,2023-03-15,NOK,Sale,"$1,001 - $15,000",
John Hickenlooper,2023-04-13,Senate,D,2023-03-08,FWONK,Sale,"$500,001 - $1,000,000",
John Hickenlooper,2023-04-13,Senate,D,2023-03-08,FWONK,Purchase,"$250,001 - $500,000",
Angus King,2023-04-13,Senate,I,2023-03-20,USB,Sale,"$1,001 - $15,000",
Gary Peters,2023-04-12,Senate,D,2023-03-14,O,Purchase,"$15,001 - $50,000",
Gary Peters,2023-04-12,Senate,D,2023-03-14,TFC,Purchase,"$1,001 - $15,000",
Gary Peters,2023-04-12,Senate,D,2023-03-13,NUE,Sale,"$50,001 - $100,000",
Tommy Tuberville,2023-04-12,Senate,R,2023-03-21,CLF,Purchase,"$50,001 - $100,000",
Tommy Tuberville,2023-04-12,Senate,R,2023-03-21,X,Sale,"$50,001 - $100,000",
Tommy Tuberville,2023-04-12,Senate,R,2023-03-21,X,Sale,"$50,001 - $100,000",
Tommy Tuberville,2023-04-12,Senate,R,2023-03-21,CLF,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-04-12,Senate,R,2023-03-21,X,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-04-12,Senate,R,2023-03-21,TSM,Purchase,"$1,001 - $15,000",
Tommy Tuberville,2023-04-12,Senate,R,2023-03-21,X,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-04-12,Senate,R,2023-03-21,CLF,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-04-12,Senate,R,2023-03-21,X,Sale,"$15,001 - $50,000",
Tommy Tuberville,2023-04-12,Senate,R,2023-03-21,X,Sale,"$15,001 - $50,000",
Tommy Tuberville,2023-04-12,Senate,R,2023-03-20,X,Sale,"$50,001 - $100,000",
Tommy Tuberville,2023-04-12,Senate,R,2023-03-10,KMB,Purchase,"$15,001 - $50,000",
Tommy Tuberville,2023-04-12,Senate,R,2023-03-06,BMO,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-04-12,Senate,R,2023-03-03,CLF,Sale,"$1,001 - $15,000",
Thomas R. Carper,2023-04-03,Senate,D,2023-03-07,AAPL,Sale,"$15,001 - $50,000",
A. Mitchell Jr. McConnell,2023-03-28,Senate,R,2023-03-03,WFC,Purchase,"$1,001 - $15,000",
Dan Sullivan,2023-03-16,Senate,R,2023-02-21,CHD,Purchase,"$1,001 - $15,000",
Dan Sullivan,2023-03-16,Senate,R,2023-02-10,SCHW,Sale,"$1,001 - $15,000",
Dan Sullivan,2023-03-16,Senate,R,2023-02-10,CHD,Purchase,"$1,001 - $15,000",
Dan Sullivan,2023-03-16,Senate,R,2023-02-10,GOOG,Purchase,"$1,001 - $15,000",
Thomas R. Carper,2023-03-01,Senate,D,2023-02-28,QCOM,Sale,"$1,001 - $15,000",
Thomas R. Carper,2023-03-01,Senate,D,2023-02-21,WM,Purchase,"$1,001 - $15,000",
Thomas R. Carper,2023-03-01,Senate,D,2023-02-21,BSM,Purchase,"$1,001 - $15,000",
Thomas R. Carper,2023-03-01,Senate,D,2023-02-21,SBUX,Sale,"$1,001 - $15,000",
Thomas R. Carper,2023-03-01,Senate,D,2023-02-21,AGX,Purchase,"$1,001 - $15,000",
Thomas R. Carper,2023-03-01,Senate,D,2023-02-21,VFH,Sale,"$1,001 - $15,000",
Thomas R. Carper,2023-03-01,Senate,D,2023-02-21,SQM,Purchase,"$1,001 - $15,000",
Thomas R. Carper,2023-03-01,Senate,D,2023-02-21,KBE,Sale,"$1,001 - $15,000",
Thomas R. Carper,2023-03-01,Senate,D,2023-02-21,TSM,Sale,"$1,001 - $15,000",
Thomas R. Carper,2023-03-01,Senate,D,2023-02-21,HASI,Purchase,"$1,001 - $15,000",
Thomas R. Carper,2023-03-01,Senate,D,2023-02-21,FPI,Purchase,"$1,001 - $15,000",
Thomas R. Carper,2023-03-01,Senate,D,2023-02-21,MOS,Purchase,"$1,001 - $15,000",
Thomas R. Carper,2023-03-01,Senate,D,2023-02-21,RTH,Sale,"$1,001 - $15,000",
Thomas R. Carper,2023-03-01,Senate,D,2023-02-21,APO,Sale,"$1,001 - $15,000",
Thomas R. Carper,2023-03-01,Senate,D,2023-02-21,IRM,Sale,"$1,001 - $15,000",
Thomas R. Carper,2023-03-01,Senate,D,2023-02-21,RTX,Purchase,"$1,001 - $15,000",
Thomas R. Carper,2023-03-01,Senate,D,2023-02-15,IVV,Purchase,"$1,001 - $15,000",
Thomas R. Carper,2023-03-01,Senate,D,2023-02-15,LDP,Sale,"$1,001 - $15,000",
Thomas R. Carper,2023-03-01,Senate,D,2023-02-15,JHMM,Sale,"$1,001 - $15,000",
Thomas R. Carper,2023-03-01,Senate,D,2023-02-15,VHT,Purchase,"$1,001 - $15,000",
Thomas R. Carper,2023-03-01,Senate,D,2023-02-15,LUBYX,Sale,"$15,001 - $50,000",
Thomas R. Carper,2023-03-01,Senate,D,2023-02-15,MBXIX,Sale,"$1,001 - $15,000",
Thomas R. Carper,2023-03-01,Senate,D,2023-02-15,IJR,Purchase,"$1,001 - $15,000",
Thomas R. Carper,2023-03-01,Senate,D,2023-02-15,GNR,Sale,"$1,001 - $15,000",
Thomas R. Carper,2023-03-01,Senate,D,2023-02-15,ABYIX,Sale,"$1,001 - $15,000",
Thomas R. Carper,2023-03-01,Senate,D,2023-02-15,SBIO,Sale,"$1,001 - $15,000",
Thomas R. Carper,2023-03-01,Senate,D,2023-02-15,CDL,Sale,"$1,001 - $15,000",
Thomas R. Carper,2023-03-01,Senate,D,2023-02-15,SPGP,Sale,"$1,001 - $15,000",
Thomas R. Carper,2023-03-01,Senate,D,2023-02-15,IWD,Purchase,"$1,001 - $15,000",
Tommy Tuberville,2023-02-14,Senate,R,2023-01-23,GOLD,Purchase,"$1,001 - $15,000",
Tommy Tuberville,2023-02-14,Senate,R,2023-01-18,CLF,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-02-14,Senate,R,2023-01-18,CLF,Purchase,"$100,001 - $250,000",
Tommy Tuberville,2023-02-14,Senate,R,2023-01-18,CLF,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-02-14,Senate,R,2023-01-13,UAA,Purchase,"$15,001 - $50,000",
Tommy Tuberville,2023-02-14,Senate,R,2023-01-12,CLF,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-02-14,Senate,R,2023-01-11,TXN,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-02-14,Senate,R,2023-01-11,AAPL,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-02-14,Senate,R,2023-01-11,V,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-02-14,Senate,R,2023-01-11,KO,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-02-14,Senate,R,2023-01-05,X,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-02-14,Senate,R,2023-01-05,X,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-02-14,Senate,R,2023-01-05,X,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-02-14,Senate,R,2023-01-05,X,Sale,"$15,001 - $50,000",
Tommy Tuberville,2023-02-14,Senate,R,2023-01-05,X,Purchase,"$1,001 - $15,000",
Tommy Tuberville,2023-02-14,Senate,R,2023-01-05,X,Sale,"$50,001 - $100,000",
Tommy Tuberville,2023-02-14,Senate,R,2023-01-05,CLF,Sale,"$15,001 - $50,000",
Tommy Tuberville,2023-02-14,Senate,R,2023-01-05,CLF,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-02-14,Senate,R,2023-01-05,CLF,Sale,"$1,001 - $15,000",
Tommy Tuberville,2023-02-14,Senate,R,2023-01-05,CLF,Sale,"$1,001 - $15,000",
Dan Sullivan,2023-02-13,Senate,R,2023-01-10,ULTA,Sale,"$1,001 - $15,000",
Dan Sullivan,2023-02-13,Senate,R,2023-01-10,JPM,Sale,"$1,001 - $15,000",
Dan Sullivan,2023-02-13,Senate,R,2023-01-10,PXD,Sale,"$1,001 - $15,000",
Dan Sullivan,2023-02-13,Senate,R,2023-01-10,ALGN,Purchase,"$1,001 - $15,000",
Dan Sullivan,2023-02-13,Senate,R,2023-01-10,AMZN,Purchase,"$1,001 - $15,000",
Dan Sullivan,2023-02-13,Senate,R,2023-01-10,CVS,Sale,"$1,001 - $15,000",
Dan Sullivan,2023-02-13,Senate,R,2023-01-10,ZTS,Purchase,"$1,001 - $15,000",
Dan Sullivan,2023-02-13,Senate,R,2023-01-10,BMY,Sale,"$1,001 - $15,000",
Dan Sullivan,2023-02-13,Senate,R,2023-01-10,BKNG,Sale,"$1,001 - $15,000",
Thomas R. Carper,2023-02-02,Senate,D,2023-01-31,RIO,Sale,"$1,001 - $15,000",
Thomas R. Carper,2023-02-02,Senate,D,2023-01-18,FPI,Purchase,"$1,001 - $15,000",
Thomas R. Carper,2023-02-02,Senate,D,2023-01-13,AQN,Sale,"$1,001 - $15,000",
Thomas R. Carper,2023-02-02,Senate,D,2023-01-11,CVS,Sale,"$1,001 - $15,000",
